---------------Investigadores---------------------------
Investigador: Nombre='Roberto', apellido='Estrada', correo='raestrad@espol.edu.ec' , institucion='ESPOL', campoInvestigacion='Mecatronica' 
Investigador: Nombre='Arturo', apellido='Veintimilla', correo='artvein@example.com' , institucion='Espol', campoInvestigacion='Matematica' 
Investigador: Nombre='Lionel', apellido='Messi', correo='messi@example.com' , institucion='UG', campoInvestigacion='Ciencias' 
Investigador: Nombre='C', apellido='Penaldo', correo='Cris@gmail.com' , institucion='Espol', campoInvestigacion='Ciencia' 
Investigador: Nombre='Sebas', apellido='Jaramillo', correo='sebas@gmail.com' , institucion='Espol', campoInvestigacion='Fisica' 
Investigador: Nombre='Arturo', apellido='Veintimilla', correo='asveinit@gmail.com' , institucion='Espol', campoInvestigacion='Ciencia' 
Investigador: Nombre='a', apellido='b', correo='c' , institucion='d', campoInvestigacion='e' 
Investigador: Nombre='a', apellido='b', correo='ab@gmail.com' , institucion='c', campoInvestigacion='d' 
Investigador: Nombre='a', apellido='b', correo='c' , institucion='d', campoInvestigacion='e' 
Investigador: Nombre='a', apellido='b', correo='ab@gmail.com' , institucion='c', campoInvestigacion='d' 
Investigador: Nombre='revisor1', apellido='a', correo='b@gmail.com' , institucion='c', campoInvestigacion='d' 
Investigador: Nombre='Pepito', apellido='Guzman', correo='pepito@gmail.com' , institucion='espol', campoInvestigacion='cienca' 
Investigador: Nombre='a', apellido='a', correo='a' , institucion='a', campoInvestigacion='aa' 
Investigador: Nombre='Gloria', apellido='Vasquez', correo='gloriaV@gmail.com' , institucion='XYZ', campoInvestigacion='ABC' 
Investigador: Nombre='Ricardo', apellido='Arjona', correo='ricardoA@gmail.com' , institucion='BNM', campoInvestigacion='ASD' 
Investigador: Nombre='Bryan', apellido='Santillan', correo='bryanS@gmail.com' , institucion='espol', campoInvestigacion='Matematica' 
Investigador: Nombre='Jordy', apellido='Angulo', correo='jordyA@gmail.com' , institucion='espol', campoInvestigacion='Quimica' 
